ANIO_PERIODO,CODIGO_UNIVERSIDAD,NOMBRE_UNIVERSIDAD,NOMBRE_FILIAL,NOMBRE_PROGRAMA,CODIGO_CLASE_CINE_N2,NOMBRE_CLASE_CINE_N2,CANTIDAD_CARNES
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,DOC. EN MEDICINA,99,POSGRADO,4
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,DOCTORADO EN INGENIERÍA DE SISTEMAS E INFORMÁTICA,99,POSGRADO,7
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,INGENIERIA MECANICA DE FLUIDOS,71,INGENIERÍA Y PROFESIONES AFINES,622
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,INGENIERIA TEXTIL Y CONFECCIONES,72,INDUSTRIA Y PRODUCCIÓN,325
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,MAE. EN ADMINISTRACION,99,POSGRADO,263
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,MAE. EN ARQUEOLOGIA ANDINA,99,POSGRADO,4
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,MAE. EN BIOTECNOLOGIA,99,POSGRADO,14
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,MAE. EN PSICOLOGIA,99,POSGRADO,106
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,MAE. GERENCIA DE SERV. DE SALUD,99,POSGRADO,51
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,"MAESTRÍA EN DERECHO CON MENCIÓN EN TUTELA DE LOS DERECHOS, GLOBALIZACION DE LA JUSTICIA Y ESTADO CONSTITUCIONAL",99,POSGRADO,3
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,MAESTRIA EN GEOMETALURGIA,99,POSGRADO,15
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,MAESTRIA PROFESIONAL EN GOBIERNO DE TECNOLOGIAS DE INFORMACION,99,POSGRADO,73
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,S.E. ENFERMERIA EN NEONATOLOGIA,99,POSGRADO,15
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,S.E. ENFERMERIA PEDIATRICA,99,POSGRADO,20
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,S.E. MEDICINA DE REHABILITACION,99,POSGRADO,24
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,S.E. ONCOLOGIA  MEDICA,99,POSGRADO,4
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,S.E. PATOLOGIA CLINICA,99,POSGRADO,13
